연번,서ㆍ센터ID,서ㆍ센터명,유형구분명,상위서ㆍ센터ID,일련번호,위도,경도,X좌표,Y좌표
86,1107201,구조대,안전센터/구조대,1107000,128,37.56393997134395,127.0666022629457,205884.309562,551602.754964
87,1104000,중부소방서,소방서,1100000,129,37.56486868517291,127.0153975260016,201360.354374,551703.857707
88,1104401,무학119안전센터,안전센터/구조대,1104000,130,37.564799912111226,127.01538877773281,201359.582724,551696.224578
89,1104402,구조대,안전센터/구조대,1104000,131,37.56494357513382,127.01540039235402,201360.606251,551712.169655
90,1104105,을지로119안전센터,안전센터/구조대,1104000,132,37.566718432293065,127.01208545095315,201067.709808,551909.115167
91,1104106,신당119안전센터,안전센터/구조대,1104000,133,37.55292948098462,127.00963769879128,200851.615888,550378.67978
92,1118102,천호119안전센터,안전센터/구조대,1118000,134,37.538603664029566,127.13137634247951,211611.030868,548796.754605
93,1111105,수락119안전센터,안전센터/구조대,1111000,135,37.679699570569035,127.05573948279775,204916.952875,564450.212535
94,1111106,공릉119안전센터,안전센터/구조대,1111000,136,37.619076517973085,127.08072579581167,207126.864141,557723.271586
95,1109101,종암119안전센터,안전센터/구조대,1109000,137,37.60252104522968,127.03161749763925,202791.96441,555883.199566
96,1109201,구조대,안전센터/구조대,1109000,138,37.60235262660099,127.03189973651786,202816.893698,555864.515385
97,1109000,성북소방서,소방서,1100000,139,37.60243595850056,127.03175544581482,202804.149036,555873.759988
98,1107102,청량리119안전센터,안전센터/구조대,1107000,140,37.58714471938664,127.05237493616076,204625.889568,554177.418851
99,1125104,삼각산119안전센터,안전센터/구조대,1125000,141,37.61986470893407,127.01546452694042,201365.268795,557807.80017
100,1117105,개화119안전센터,안전센터/구조대,1117000,142,37.57504972134618,126.80309737146281,182606.229718,552851.948292
101,1123201,119구조대,안전센터/구조대,1123000,143,37.57181992441326,126.93457583809716,194220.384553,552477.264721
102,1123000,서대문소방서,소방서,1100000,144,37.57326379299747,126.93590337976728,194337.769825,552637.43659
103,1106000,용산소방서,소방서,1100000,145,37.53407956990786,126.97152835965024,197483.52718,548286.905824
104,1106101,한강로119안전센터,안전센터/구조대,1106000,146,37.53400627383394,126.9714405095152,197475.760054,548278.773217
105,1106201,구조대,안전센터/구조대,1106000,147,37.534155165272324,126.97163530809632,197492.982375,548295.293122
106,1102000,동작소방서,소방서,1100000,148,37.49462419197727,126.91767778359608,192720.098964,543910.662103
107,1102101,동작119안전센터,안전센터/구조대,1102000,149,37.494621721075724,126.91753380499628,192707.366436,543910.39901
108,1102201,구조대,안전센터/구조대,1102000,150,37.494625050984105,126.9178080615148,192731.619759,543910.747374
109,1120105,종합운동장119안전센터,안전센터/구조대,1120000,151,37.514215107933374,127.07098396903227,206275.599323,546084.18538
110,1107105,휘경119안전센터,안전센터/구조대,1107000,152,37.59066989174759,127.06513749036542,205752.840089,554569.378351
111,1121105,신트리119안전센터,안전센터/구조대,1121000,153,37.510649383684466,126.8479846992579,186559.884642,545696.92461
112,1113107,상암119안전센터,안전센터/구조대,1113000,154,37.57991197321592,126.88124996468267,189510.674,553380.006
113,1106102,이촌119안전센터,안전센터/구조대,1106000,155,37.530041347432785,126.95338543557548,195879.738232,547839.353145
114,1121000,양천소방서,소방서,1100000,156,37.53016108016855,126.87225841263015,188708.935882,547859.288574
115,1100212,북한산산악구조대,안전센터/구조대,1100000,157,37.64048547628041,126.94328844715855,194994.665719,560097.888963
116,1126305,반포수난구조대,안전센터/구조대,1100000,158,37.50628439884829,126.97936260833832,198175.282415,545201.810745
117,1100211,도봉산산악구조대,안전센터/구조대,1100000,159,37.68851716432322,127.03485208497766,203074.046656,565427.99142
118,1100213,관악산산악구조대,안전센터/구조대,1100000,160,37.45727818561336,126.94495208852057,195129.5919,539763.996002
119,1127301,성수119안전센터,안전센터/구조대,1127000,161,37.537185822226455,127.06067404708331,205362.468104,548633.010661
120,1105107,중곡119안전센터,안전센터/구조대,1105000,162,37.56694832803597,127.08663866528853,207654.218093,551938.090568
121,1127302,왕십리119안전센터,안전센터/구조대,1127000,163,37.5620360927537,127.035494934241,203136.056917,551389.954027
122,1127303,금호119안전센터,안전센터/구조대,1127000,164,37.55405368061529,127.0243497206924,202151.581836,550503.687507
123,1127402,구조대,안전센터/구조대,1127000,165,37.55377144761126,127.03959179705745,203498.410303,550472.82107
124,1127401,행당119안전센터,안전센터/구조대,1127000,166,37.553609886877844,127.0393695889775,203478.783062,550454.881512
125,1127000,성동소방서,소방서,1100000,167,37.55366493081655,127.03950980961183,203491.170697,550460.99593
126,1105103,능동119안전센터,안전센터/구조대,1105000,168,37.55166132184341,127.07695350061286,206799.957194,550240.668816
127,1126304,뚝섬수난구조대,안전센터/구조대,1105000,169,37.53131287147388,127.0605892184194,205355.390754,547981.180542
128,1105000,광진소방서,소방서,1100000,170,37.54483227714793,127.0827510244038,207312.919673,549483.162122
129,1105402,구조대,안전센터/구조대,1105000,171,37.544816654812145,127.08281909283806,207318.936583,549481.433528
130,1105401,구의119안전센터,안전센터/구조대,1105000,172,37.5448528440841,127.08267104963758,207305.85009,549485.438586
131,1114107,세곡119안전센터,안전센터/구조대,1114000,173,37.47044559681554,127.10724715218637,209487.114956,541229.377681
132,1100512,본부현장대응단,안전센터/구조대,1100000,174,37.558863417010585,126.98915707753027,199041.962913,551037.287609
133,1117106,마곡119안전센터,안전센터/구조대,1117000,175,37.555934688739974,126.82071566124694,184158.529106,550727.285551
134,1118106,강일119안전센터,안전센터/구조대,1118000,176,37.55734332385741,127.17967995798972,215876.128779,550883.694238
135,1126307,광나루수난구조대,안전센터/구조대,1126000,177,37.544924603192136,127.11768655501113,210400.25,549496.7
136,1110108,쌍문119안전센터,안전센터/구조대,1110000,1,37.64820305473068,127.02683252925125,202367.981,560953.287
137,1125000,강북소방서,소방서,1100000,2,37.633045060546,127.03820322257828,203372.13415,559271.253735
138,1125101,번동119안전센터,안전센터/구조대,1125000,3,37.633093922150756,127.03816818467236,203369.039207,559276.675604
139,1125201,구조대,안전센터/구조대,1125000,4,37.632995864454756,127.03824407904382,203375.742707,559265.794952
140,1113105,공덕119안전센터,안전센터/구조대,1113000,5,37.55006613779245,126.95976727307529,196444.779849,550061.600108
141,1103108,종로119안전센터,안전센터/구조대,1103000,6,37.57124317091771,126.9922443579131,199314.856,552411.268
142,1103000,종로소방서,소방서,1100000,7,37.572862521715386,126.9789059396841,198136.562279,552591.178035
143,1103102,세종로119안전센터,안전센터/구조대,1103000,8,37.57291700794306,126.97892308540403,198138.078279,552597.225035
144,1112105,녹번119안전센터,안전센터/구조대,1112000,9,37.60112134136961,126.93492604919385,194253.575398,555729.368964
145,1112202,119구조대,안전센터/구조대,1112000,10,37.62883213270846,126.91979444713718,192919.990743,558806.002047
146,1116102,봉천119안전센터,안전센터/구조대,1116000,11,37.48598184080317,126.94147807150901,194824.205,542949.9
147,1120106,가락119안전센터,안전센터/구조대,1120000,12,37.496475787137605,127.11347186232615,210034.273092,544119.029971
148,1113103,염리119안전센터,안전센터/구조대,1113000,13,37.541697174842255,126.94554623823308,195187.580532,549133.379208
149,1119108,공단119안전센터,안전센터/구조대,1119000,14,37.484220908396566,126.89848178527554,191021.316925,542757.691769
