,서ㆍ센터명,유형구분명,위도,경도
85,구조대,구조대,37.56393997134395,127.0666022629457
86,중부소방서,소방서,37.56486868517291,127.0153975260016
87,무학119안전센터,안전센터,37.564799912111226,127.01538877773281
88,구조대,구조대,37.56494357513382,127.01540039235402
89,을지로119안전센터,안전센터,37.566718432293065,127.01208545095315
90,신당119안전센터,안전센터,37.55292948098462,127.00963769879128
91,천호119안전센터,안전센터,37.538603664029566,127.13137634247951
92,수락119안전센터,안전센터,37.679699570569035,127.05573948279775
93,공릉119안전센터,안전센터,37.619076517973085,127.08072579581167
94,종암119안전센터,안전센터,37.60252104522968,127.03161749763925
95,구조대,구조대,37.60235262660099,127.03189973651786
96,성북소방서,소방서,37.60243595850056,127.03175544581482
97,청량리119안전센터,안전센터,37.58714471938664,127.05237493616076
98,삼각산119안전센터,안전센터,37.61986470893407,127.01546452694042
99,개화119안전센터,안전센터,37.57504972134618,126.80309737146281
100,119구조대,구조대,37.57181992441326,126.93457583809716
101,서대문소방서,소방서,37.573263792997466,126.93590337976728
102,용산소방서,소방서,37.53407956990786,126.97152835965024
103,한강로119안전센터,안전센터,37.53400627383394,126.9714405095152
104,구조대,구조대,37.534155165272324,126.97163530809632
105,동작소방서,소방서,37.49462419197727,126.91767778359608
106,동작119안전센터,안전센터,37.49462172107573,126.91753380499628
107,구조대,구조대,37.494625050984105,126.9178080615148
108,종합운동장119안전센터,안전센터,37.514215107933374,127.07098396903227
109,휘경119안전센터,안전센터,37.59066989174759,127.06513749036542
110,신트리119안전센터,안전센터,37.510649383684466,126.8479846992579
111,상암119안전센터,안전센터,37.57991197321592,126.88124996468267
112,이촌119안전센터,안전센터,37.530041347432785,126.95338543557548
113,양천소방서,소방서,37.53016108016855,126.87225841263015
114,북한산산악구조대,구조대,37.64048547628041,126.94328844715855
115,반포수난구조대,구조대,37.50628439884829,126.97936260833832
116,도봉산산악구조대,구조대,37.68851716432322,127.03485208497766
117,관악산산악구조대,구조대,37.45727818561336,126.94495208852057
118,성수119안전센터,안전센터,37.537185822226455,127.06067404708331
119,중곡119안전센터,안전센터,37.56694832803598,127.08663866528853
120,왕십리119안전센터,안전센터,37.5620360927537,127.035494934241
121,금호119안전센터,안전센터,37.55405368061529,127.0243497206924
122,구조대,구조대,37.55377144761126,127.03959179705745
123,행당119안전센터,안전센터,37.553609886877844,127.0393695889775
124,성동소방서,소방서,37.55366493081655,127.03950980961183
125,능동119안전센터,안전센터,37.55166132184341,127.07695350061286
126,뚝섬수난구조대,구조대,37.53131287147388,127.0605892184194
127,광진소방서,소방서,37.54483227714793,127.0827510244038
128,구조대,구조대,37.54481665481214,127.08281909283806
129,구의119안전센터,안전센터,37.5448528440841,127.08267104963758
130,세곡119안전센터,안전센터,37.47044559681554,127.10724715218637
131,본부현장대응단,특수대응단,37.55886341701059,126.98915707753027
132,마곡119안전센터,안전센터,37.555934688739974,126.82071566124694
133,강일119안전센터,안전센터,37.55734332385741,127.17967995798972
134,광나루수난구조대,구조대,37.544924603192136,127.11768655501113
135,쌍문119안전센터,안전센터,37.64820305473068,127.02683252925125
136,강북소방서,소방서,37.633045060546,127.03820322257828
137,번동119안전센터,안전센터,37.633093922150756,127.03816818467236
138,구조대,구조대,37.632995864454756,127.03824407904382
139,공덕119안전센터,안전센터,37.550066137792456,126.95976727307529
140,종로119안전센터,안전센터,37.57124317091771,126.9922443579131
141,종로소방서,소방서,37.572862521715386,126.9789059396841
142,세종로119안전센터,안전센터,37.57291700794306,126.97892308540403
143,녹번119안전센터,안전센터,37.60112134136961,126.93492604919385
144,119구조대,구조대,37.62883213270846,126.91979444713718
145,봉천119안전센터,안전센터,37.48598184080317,126.94147807150901
146,가락119안전센터,안전센터,37.496475787137605,127.11347186232615
147,염리119안전센터,안전센터,37.541697174842255,126.94554623823308
148,공단119안전센터,안전센터,37.484220908396566,126.89848178527554
149,영등포소방서,소방서,37.518490129681844,126.90415375137765
150,영등포119안전센터,안전센터,37.518369966303,126.90418013697291
151,구조대,구조대,37.518409022365795,126.90421048166596
152,강남소방서,소방서,37.510286130713084,127.06678384111106
153,구조대,구조대,37.51024567714753,127.0667163009849
154,삼성119안전센터,안전센터,37.51031312909183,127.06691954611392
155,발산119안전센터,안전센터,37.55525057962739,126.83690063188507
156,당산119안전센터,안전센터,37.53549705844098,126.89921364348461
157,서초119안전센터,안전센터,37.4880588797924,127.02757971438727
