연번,비상소화장치일련번호,비상소화장치고유번호,geometry
95,110081402,000061,POINT (126.90558865952858 37.53274278140363)
96,110081406,000065,POINT (126.91265175478526 37.51263521939057)
97,110085227,000021,POINT (127.04651066921575 37.56327851644392)
98,110081408,000067,POINT (126.90477293008094 37.49669083370427)
99,110081411,000075,POINT (126.90629085105357 37.51000049150588)
100,110081413,180,POINT (127.04298993655341 37.60640637755169)
101,110080195,000047,POINT (127.06013099753552 37.48457671933572)
102,110081414,181,POINT (127.03468361482582 37.60078658130474)
103,110081415,182,POINT (127.02124703470133 37.599740017309905)
104,110081416,183,POINT (127.03105573011328 37.60223540513666)
105,110081417,184,POINT (127.00981976197417 37.59954268731601)
106,110081418,185,POINT (127.00270122161217 37.613944879114385)
107,110081420,187,POINT (127.02970910884835 37.58853158062885)
108,110081421,188,POINT (127.02276395156524 37.585391256360424)
109,110081422,189,POINT (127.01663673828465 37.596424344196436)
110,110081423,190,POINT (127.04126365102725 37.612711710704)
111,110081425,192,POINT (127.06174056764554 37.60983457429778)
112,110081427,194,POINT (127.00610584857199 37.611902457701994)
113,110081428,195,POINT (127.00008321111676 37.616042750706356)
114,110081429,2,POINT (126.99977097809563 37.61442316501886)
115,110080001,140,POINT (127.04379515199223 37.61252722930126)
116,110080003,142,POINT (127.0290857370472 37.58963662389923)
117,110080005,199,POINT (127.02227568377822 37.59551396090382)
118,110080006,200,POINT (127.00755239964835 37.588107793117835)
119,110080009,196,POINT (127.00049643418082 37.606789662802164)
120,110080010,205,POINT (127.00187708847749 37.606204706014104)
121,110080011,207,POINT (127.0010820556602 37.61472596286886)
122,110080012,198,POINT (127.00809865785608 37.59892204983499)
123,110080014,203,POINT (126.99703175892877 37.60619379963003)
124,110085251,000037,POINT (127.15739163645145 37.49041895343003)
125,110081111,000089,POINT (127.04039646392181 37.54722721101894)
126,110081112,000087,POINT (127.05546917045194 37.55839885309464)
127,110081113,000088,POINT (127.06420528802792 37.549305638287564)
128,110081115,000100,POINT (127.03046136518356 37.55337728073168)
129,110081116,000101,POINT (127.02282012909866 37.55012459345538)
130,110081120,000105,POINT (127.00974537454479 37.54078868485803)
131,110081121,000086,POINT (127.06485450337468 37.53747650906424)
132,110082129,000175,POINT (126.93194638199299 37.49184606599093)
133,110082131,000177,POINT (126.92397605743257 37.46840256737334)
134,110082132,000178,POINT (126.93211837824802 37.47275916852243)
135,110082133,000179,POINT (126.94994236697555 37.48347365000206)
136,110082134,000181,POINT (126.93376595360351 37.48072700637533)
137,110082135,000274,POINT (126.94679913283865 37.51099356711121)
138,110082136,000275,POINT (126.97741346911094 37.49362608923356)
139,110082139,000278,POINT (126.93901342254993 37.501806116384884)
140,110082142,000281,POINT (126.96261902563784 37.48998472176564)
141,110082143,000283,POINT (126.94837790709168 37.500731569025234)
142,110082144,000007,POINT (126.92982740797669 37.46037258115577)
143,110082149,000080,POINT (126.92165451903183 37.46623589739648)
144,110082150,000059,POINT (126.91548986761588 37.46273433410241)
145,110082151,000005,POINT (126.91185037952194 37.482997407832144)
146,110082152,000087,POINT (126.92004936336798 37.476092064696346)
147,110082153,000006,POINT (126.92880560085113 37.46035078944716)
148,110082155,000030,POINT (126.94021088818455 37.47402119659836)
149,110082156,000035,POINT (126.93640555859575 37.465029778564436)
150,110082157,000036,POINT (126.93503791204948 37.46456810541649)
151,110082158,000038,POINT (126.93829756787005 37.46695915185501)
152,110081563,101,POINT (127.01102448801909 37.609222053426635)
153,110081564,102,POINT (127.0512773587519 37.609908841813365)
154,110081861,321,POINT (127.03741492550772 37.61582277340523)
155,110081863,38,POINT (127.03719618568695 37.64683129781593)
156,110081864,39,POINT (127.02382032423961 37.65349616705795)
157,110081865,325,POINT (127.03081959750722 37.62750966656011)
158,110081866,421,POINT (127.01336166002308 37.627070754869386)
159,110080426,140,POINT (126.95350561945762 37.57670355577909)
160,110081868,43,POINT (127.03723028474822 37.63979345313231)
161,110081871,424,POINT (127.01698777543005 37.62686171537737)
162,110081872,425,POINT (127.01775699053974 37.622328566267775)
163,110081873,48,POINT (127.03710611461945 37.67873394478517)
164,110081874,323,POINT (127.03039805051127 37.62554704546674)
165,110081875,202,POINT (127.02060281718317 37.64692321786133)
166,110080428,110,POINT (126.9583463309369 37.56190078634689)
167,110081877,314,POINT (127.02721561852961 37.61338743833251)
168,110081880,207,POINT (127.01132012989545 37.65934035367346)
169,110081881,61,POINT (127.03299969842499 37.65266862299188)
